algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction,dpo_training_loss,dpo_clean_loss
dpo,0,0,0,0,0.23333333333333334,0.3333333333333333,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453
dpo,1,1,0,12,0.23226801618966658,0.32640752901749404,1.0970148454953232,0.0015974431727865022,0.6931471805599453,0.0,0.0,0.0,0.0,0.6734471252394574,0.6934471204394584
dpo,2,2,0,24,0.23041787243046502,0.3190036409366841,1.0922587453078987,0.006353543360211168,0.6734471252394574,0.0,0.0,0.0,0.0,0.6543633281604052,0.6943451322959917
dpo,3,3,0,36,0.22781344186766123,0.3111841047782883,1.0844482309045151,0.014164057763594567,0.6543633281604052,0.0,0.0,0.0,0.0,0.6359036958689126,0.6958363279256886
dpo,4,4,0,48,0.22541944437697387,0.3037232157431839,1.0738602509616568,0.024752037706452963,0.6359036958689126,0.0,0.0,0.0,0.0,0.6180744265473023,0.6972870599873202
dpo,5,5,0,60,0.216122757520195,0.291328677259632,1.0593869742932296,0.03922531437488012,0.6180744265473023,0.0,0.0,0.0,0.0,0.6008966160719699,0.7035936584881913
dpo,6,6,0,72,0.21564596766317295,0.2856754698581497,1.044518968763093,0.05409331990501674,0.6008966160719699,0.0,0.0,0.0,0.0,0.5843111054492859,0.7040232615660685
dpo,7,7,0,84,0.21448886757793606,0.2798988398510102,1.0279917607605613,0.07062052790754847,0.5843111054492859,0.0,0.0,0.0,0.0,0.5683899526239585,0.7051185693374403
dpo,8,8,0,96,0.2087262216180023,0.2709253640525931,1.008544594801479,0.09006769386663077,0.5683899526239585,0.0,0.0,0.0,0.0,0.5530793505018087,0.7095726608120915
dpo,9,9,0,108,0.200424850457662,0.26023895282364723,0.9863674358870245,0.11224485278108523,0.5530793505018087,0.0,0.0,0.0,0.0,0.5383785319499429,0.7160933430570561
dpo,10,10,0,120,0.19175629678512374,0.24952550586066047,0.9623537767567028,0.13625851191140703,0.5383785319499429,0.0,0.0,0.0,0.0,0.5243018203283434,0.7232683784549215
dpo,11,11,0,132,0.1846028342828469,0.2403061887149301,0.9382448592141212,0.16036742945398852,0.5243018203283434,0.0,0.0,0.0,0.0,0.5108259012594173,0.7297110504138602
dpo,12,12,0,144,0.17918798908986555,0.2327727172743964,0.9151046433785852,0.18350764528952454,0.5108259012594173,0.0,0.0,0.0,0.0,0.49792504034218915,0.7351847592419533
