algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
dpo,0,0,0,0,0.23333333333333334,0.3333333333333333,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0
dpo,1,1,0,12,0.27332621491106973,0.360326575907009,1.096482364437728,0.002129924230382003,0.6931471805599453,0.0,0.0,0.0,0.0
dpo,2,2,0,24,0.3130991416963972,0.3878283092759879,1.0901408975211662,0.008471391146943664,0.666880440132628,0.0,0.0,0.0,0.0
dpo,3,3,0,36,0.35237930014637486,0.4156350616850326,1.0797268780080977,0.018885410660011825,0.6414353773605584,0.0,0.0,0.0,0.0
dpo,4,4,0,48,0.3904453017000684,0.4424639013368443,1.0656179809030055,0.032994307765104376,0.6168225343052355,0.0,0.0,0.0,0.0
dpo,5,5,0,60,0.4310428109173293,0.4766883361890401,1.0463286582726485,0.05228363039546123,0.5930503063484608,0.0,0.0,0.0,0.0
dpo,6,6,0,72,0.4650403770226277,0.49929916409105657,1.0264789120113238,0.07213337665678611,0.5701458019022582,0.0,0.0,0.0,0.0
dpo,7,7,0,84,0.4971256326229848,0.5212211085786357,1.0044244903437598,0.09418779832434993,0.5480324370948237,0.0,0.0,0.0,0.0
dpo,8,8,0,96,0.5305818434366192,0.5478524167975845,0.9784870766957787,0.12012521197233117,0.5268036086634645,0.0,0.0,0.0,0.0
dpo,9,9,0,108,0.5644429327698466,0.5768515363864534,0.9489166920683868,0.14969559659972304,0.5063895149483603,0.0,0.0,0.0,0.0
dpo,10,10,0,120,0.5970253089899962,0.605308933494383,0.9169229089640234,0.18168937970408652,0.4867888783129664,0.0,0.0,0.0,0.0
dpo,11,11,0,132,0.6264414976030872,0.6304278157416416,0.8848365546593974,0.21377573400871247,0.46802010103590996,0.0,0.0,0.0,0.0
dpo,12,12,0,144,0.6522570400486309,0.6517573304494784,0.854036797784396,0.24457549088371383,0.4500517431695015,0.0,0.0,0.0,0.0
dpo,13,13,0,156,0.6752890965454614,0.6705694214483748,0.82434125921321,0.27427102945489973,0.4328504772504032,0.0,0.0,0.0,0.0
dpo,14,14,0,168,0.6967816424387796,0.6885728221615952,0.794696921402405,0.30391536726570495,0.4164120993438954,0.0,0.0,0.0,0.0
