group_size,batch_prompts,algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
2,64,grpo,0,0,0,0,0.23333333333333334,0.3333333333333333,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0
2,64,grpo,1,4,128,0,0.38473070201774473,0.44074788112881674,1.0627041207530619,0.0359081679150477,-0.09133530457942103,0.0,0.6015625,0.03631136969150193,0.359375
2,64,grpo,2,8,256,0,0.5284372252546808,0.5594431562873853,0.9643120013531375,0.1343002873149723,-0.10300808770927691,0.0,0.828125,0.034865864954312,0.34375
2,64,grpo,3,12,384,0,0.6570375219577198,0.673702522085144,0.8214072085551192,0.2772050801129906,-0.0912021719758779,0.0,0.765625,0.03153048778473824,0.3125
2,64,grpo,4,16,512,0,0.7652486341685865,0.7760913358240568,0.6592075689699624,0.4394047196981474,-0.06714921599941488,0.0,0.453125,0.028364932486814,0.5
2,64,grpo,5,20,640,0,0.8442447263727532,0.8526614539698062,0.5044780171742087,0.5941342714939011,-0.03859850361565988,0.0,0.2421875,0.021284433129778298,0.59375
2,64,grpo,6,24,768,0,0.8930967280696257,0.9001378750196001,0.38575933508425764,0.7128529535838521,-0.004794274798116085,0.0,0.1015625,0.011537206760408193,0.796875
2,64,grpo,7,28,896,0,0.9241132499302933,0.9297073388480495,0.29847608852035784,0.800136200147752,-0.002757086219186116,0.0,0.1328125,0.006175918313778068,0.765625
2,64,grpo,8,32,1024,0,0.9427394090131747,0.9473870822424746,0.23971363714663282,0.8588986515214772,0.01712137451143008,0.0,0.0390625,0.0029796224761151754,0.921875
2,64,grpo,9,36,1152,0,0.9547512751048439,0.9586203892495214,0.19888824806012098,0.8997240406079886,0.016263364555719403,0.0,0.0390625,0.0015984636755692744,0.890625
2,64,grpo,10,40,1280,0,0.9629306475621606,0.966187347326515,0.1694309578950378,0.929181330773072,0.02090754800261606,0.0,0.015625,0.000901604405915466,0.921875
2,64,grpo,11,44,1408,0,0.9689293262828936,0.9716658554666987,0.14689330005670012,0.9517189886114096,0.023107759637813793,0.0,0.0078125,0.0005416675387333345,0.921875
2,64,grpo,12,48,1536,0,0.9737283092268494,0.9760605565478089,0.12813043075452904,0.9704818579135809,0.023676493095012425,0.0,0.0,0.00041390054853173894,0.921875
2,64,grpo,13,52,1664,0,0.9769793564898772,0.9790572646862226,0.11481796159166856,0.9837943270764413,0.0284785402041335,0.0,0.0,0.00023153243163536754,0.984375
2,64,grpo,14,56,1792,0,0.9794036963683225,0.9813085941781702,0.1046115932464854,0.9940006954216243,0.02775013902780021,0.0,0.0,0.00013783733513899582,0.953125
2,64,grpo,15,60,1920,0,0.9812026888231831,0.983001821022888,0.09684538704513351,1.0017669016229762,0.02924537696649336,0.0,0.0,8.91350511392443e-05,0.984375
