step,optimizer_steps,sampled_episodes,sampled_transitions,old_policy_kl,expected_return,left_probability,left_success_probability,value_start
0,0,0,0,0.0,0.3,0.5,0.5,0.0
1,4,64,128,0.04418156623558858,0.46282433988633476,0.6426371241126927,0.6481137915855942,0.2922237362315153
2,8,128,256,0.03354653690193414,0.6180211127842384,0.7564680686888451,0.7679059292750586,0.49185997801348136
3,12,192,384,0.02720886361985904,0.752272488504825,0.8489146582718194,0.8563185600527169,0.6825485270213507
4,16,256,512,0.016083345933807176,0.8428165531801322,0.9060564455853313,0.9119115025639063,0.8775172277476512
5,20,320,640,0.007967201525698043,0.8970258660122038,0.940290923089133,0.9424694569815235,0.9506570411424856
6,24,384,768,0.0035720786455744457,0.9277887171382787,0.958013550615429,0.9603743321972845,0.9512635876524572
7,28,448,896,0.002436362947842443,0.9497217700783491,0.9707962396413718,0.9726982796742468,0.8854198615565412
8,32,512,1024,0.001342181910869993,0.9634758408861421,0.978509704870348,0.9805306528133758,0.8812157967964425
9,36,576,1152,0.0006527470796760006,0.9718212651209681,0.9836159211668322,0.9848849025965354,0.9719952344860586
10,40,640,1280,0.0003348375223519446,0.9771693808568704,0.9867590291760875,0.9877596283298381,1.0431121082644632
11,44,704,1408,0.00018212228682650097,0.9807870007697244,0.9885446330337646,0.9899713566398815,1.024194285195774
12,48,768,1536,0.00013511227621384008,0.9836631508944229,0.9899522096830331,0.9917348724183508,0.9556551442089944
13,52,832,1664,7.433906883561167e-05,0.9856456773798871,0.9909770358067755,0.9929035569045732,0.9511037260308823
14,56,896,1792,0.00012213144792200042,0.9879995815348559,0.9921614263647497,0.9943151278857969,0.9506154055345181
15,60,960,1920,9.063803787983917e-05,0.9898394701931913,0.9931226041307062,0.9953875332884125,0.9805836487135835
16,64,1024,2048,3.5884166967011855e-05,0.9909236982733151,0.9937132348540485,0.9959988673949587,1.025717490793489
17,68,1088,2176,2.504765956450996e-05,0.9917484453978723,0.9940807350473703,0.9965299115613695,1.008244073430251
18,72,1152,2304,2.504794684608177e-05,0.9924631984830704,0.9943119870947025,0.9970607721859627,0.9646423514232305
19,76,1216,2432,1.4031961805839008e-05,0.9929581268429156,0.9944653403099938,0.9974337377536802,0.9767413901009385
20,80,1280,2560,5.764531457005561e-06,0.993267164275338,0.9945706938506698,0.9976587544108412,1.0169190454258652
21,84,1344,2688,2.415452450842549e-06,0.9934627074198004,0.9946400251086441,0.9977989371289406,1.0190379953600652
