algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
ppo,0,0,0,0,0.23333333333333334,0.3333333333333333,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0
ppo,1,4,128,0,0.3812612258078901,0.43746717073100233,1.0680892852352877,0.030523003432822243,-0.10827865244107238,0.3548856684674133,0.640625,0.030914271457054582,0.0
ppo,2,8,256,0,0.5125577272460702,0.5345694488723868,0.991374020792779,0.10723826787533086,0.12915946196696954,0.3982462271706808,0.65625,0.02714293453463185,0.0
ppo,3,12,384,0,0.6481789470965501,0.6601472218840954,0.8554451289398822,0.2431671597282275,-0.21326547608465093,0.31941671215208384,0.90625,0.03420436129735939,0.0
ppo,4,16,512,0,0.7641241833271158,0.7727389264682732,0.6792164093869455,0.41939587928116423,-0.13334371512750332,0.24341049849151286,0.3671875,0.03307015307304728,0.0
ppo,5,20,640,0,0.8447104497898148,0.8514450130215958,0.5145664848002092,0.5840458038679006,-0.12407663091840908,0.1627461193417791,0.1796875,0.021829347132699888,0.0
ppo,6,24,768,0,0.8977219029946055,0.9025748787996217,0.3817935276498476,0.7168187610182623,0.1373442828469744,0.21678812296334826,0.1875,0.013109416698859386,0.0
ppo,7,28,896,0,0.9298228374052254,0.9334581686286112,0.2875332922563384,0.8110789964117714,0.09042315130056827,0.10184286506019713,0.1015625,0.0068254926394257474,0.0
ppo,8,32,1024,0,0.9502228941632382,0.9530276016166764,0.22017553753128646,0.8784367511368234,0.08546357663948691,0.11205594791999966,0.109375,0.003895828779186954,0.0
ppo,9,36,1152,0,0.9620165797830043,0.9642824167751688,0.17756263950394874,0.9210496491641609,-0.07259195624135716,0.0240588002979915,0.015625,0.0017342887684331093,0.0
ppo,10,40,1280,0,0.9690064218323572,0.9709760447720532,0.15050929312966616,0.9481029955384436,-0.0715591923550921,0.009009023166364547,0.015625,0.0007657802563100267,0.0
ppo,11,44,1408,0,0.9735750328440278,0.9754121016255886,0.13174103902482537,0.9668712496432845,-0.0011196563417088749,0.01216174889023593,0.0078125,0.00041117286267808507,0.0
ppo,12,48,1536,0,0.9768412714793753,0.9785695865308541,0.11788333494962072,0.980728953718489,0.050599502581459926,0.019232520190132118,0.0,0.00023746459637631688,0.0
ppo,13,52,1664,0,0.9791608733437173,0.9807712303158558,0.107901897987104,0.9907103906810057,0.036026683674975635,0.014925286348915101,0.0,0.00012900573760357272,0.0
ppo,14,56,1792,0,0.9811685510605097,0.9826876685217534,0.0989910283110294,0.9996212603570802,0.019831825837611873,0.025110095991431436,0.0,0.00011716679859731554,0.0
ppo,15,60,1920,0,0.9829624099221492,0.9844076347218298,0.09077624360651165,1.007836045061598,0.001102694592749887,0.021231338556935382,0.0,0.00011185932287578504,0.0
ppo,16,64,2048,0,0.9844972389131869,0.9858723252844468,0.08362854497995609,1.0149837436881537,-0.014028125516765183,0.017832373994096856,0.0,8.347262802499056e-05,0.0
ppo,17,68,2176,0,0.9858668634453447,0.9871739710467393,0.07713879240003932,1.0214734962680705,0.010157955660163311,0.02175798793975232,0.0,7.379777053490832e-05,0.0
ppo,18,72,2304,0,0.9869779561727579,0.9882080244319397,0.07186403080849493,1.026748257859615,0.004732931057725996,0.014033462872036983,0.0,5.5559738911762656e-05,0.0
ppo,19,76,2432,0,0.9880448941403451,0.989166188933156,0.06695004432920006,1.0316622443389096,0.010491793803216989,0.017972758872092008,0.0,4.531001712763317e-05,0.0
ppo,20,80,2560,0,0.9890758264524298,0.9900611234858465,0.06233844739156904,1.0362738412765407,0.000909229987656102,0.013928061390732962,0.0,5.0447209615543835e-05,0.0
ppo,21,84,2688,0,0.990031043449022,0.9908887016722145,0.05799077058359129,1.0406215180845186,0.01117770724723095,0.017194941458583638,0.0078125,5.7131040924757736e-05,0.0
ppo,22,88,2816,0,0.9908032592790009,0.9915608960304876,0.0543606020224576,1.0442516866456522,0.0026377191837606674,0.013848788842445664,0.0,3.785544375061721e-05,0.0
ppo,23,92,2944,0,0.9913225884213536,0.992014258653205,0.05186510831148544,1.0467471803566244,-0.007356661231020958,0.0007050531913598545,0.0,1.795850729717468e-05,0.0
ppo,24,96,3072,0,0.9917522806296111,0.9923855389989138,0.049799698176442024,1.0488125904916679,0.017534363356626628,0.013778318305021069,0.0,1.0980860851079006e-05,0.0
ppo,25,100,3200,0,0.992260327054877,0.9928690422547732,0.04712180308557509,1.0514904855825349,0.00807046061634449,0.009759113754370458,0.0,1.962826218028451e-05,0.0
ppo,26,104,3328,0,0.9928750528515541,0.9934670621995462,0.043763330043165696,1.054848958624944,0.01001736512759413,0.019749115052861813,0.0,3.564225495257303e-05,0.0
ppo,27,108,3456,0,0.9933970514778773,0.9939800097659087,0.040827498666073075,1.0577847900020367,-0.020183787278613845,0.0032682665239076245,0.0,3.199803383366515e-05,0.0
ppo,28,112,3584,0,0.9937374106695954,0.9943168124044119,0.038865263942700214,1.0597470247254095,-0.003073376857820432,0.0002158696777209007,0.0,1.6054764901913705e-05,0.0
ppo,29,116,3712,0,0.9940417626673501,0.9946276285486069,0.037032179168351574,1.0615801094997581,0.024023200142932098,0.006380085246390065,0.0,1.6633790409124445e-05,0.0
ppo,30,120,3840,0,0.9942716303391134,0.9948641656384639,0.03561542191046638,1.0629968667576433,-0.003368778576259256,0.00041710772492319136,0.0,1.1120031505460257e-05,0.0
ppo,31,124,3968,0,0.9944152937540973,0.9950110855980036,0.034724066146622254,1.0638882225214874,-0.013503786646375082,0.00011392752978097692,0.0,4.532850758864098e-06,0.0
ppo,32,128,4096,0,0.994507086424465,0.9951045676435735,0.03415220473955755,1.0644600839285525,0.00016240345887768976,0.0001301458819651689,0.0,1.9025403609774407e-06,0.0
ppo,33,132,4224,0,0.9946048335216718,0.9952058169159157,0.03353623017303961,1.06507605849507,0.015456227160518136,0.0030396662931081375,0.0,2.049441605301646e-06,0.0
ppo,34,136,4352,0,0.9946867158934325,0.9952908788683621,0.03301703089350566,1.0655952577746042,0.0004508468723888101,0.0001260009857330537,0.0,1.8031395606379857e-06,0.0
ppo,35,140,4480,0,0.9947399001207753,0.9953459076188622,0.032679119465448686,1.0659331692026612,-0.009411587719380221,5.5357975929830946e-05,0.0,7.69643176844405e-07,0.0
ppo,36,144,4608,0,0.9948091870098523,0.995417986841062,0.03223511821210629,1.0663771704560037,0.0023807944402160883,0.0029748621363700936,0.0,2.0788573466098864e-06,0.0
ppo,37,148,4736,0,0.9948698060018404,0.9954808177063307,0.03184458732411327,1.0667677013439965,0.0023763474389444585,3.801376194419814e-05,0.0,1.8682435384013032e-06,0.0
ppo,38,152,4864,0,0.9949083901816915,0.995520601002642,0.03159534831515605,1.0670169403529537,0.0005959638057987112,7.316044465790478e-06,0.0,7.764149918804723e-07,0.0
ppo,39,156,4992,0,0.9950083470077546,0.9956058099147775,0.03106441264467475,1.0675478760234347,0.01437112048579092,0.01309251601787809,0.0,2.4392416842990643e-06,0.0
ppo,40,160,5120,0,0.9951063947063858,0.9956879144887141,0.03054855456814367,1.0680637340999664,-0.009529383968553299,0.00036160256106287903,0.0,2.8104447267970098e-06,0.0
ppo,41,164,5248,0,0.9951679481680993,0.9957398389832303,0.03021954308739276,1.0683927455807172,-0.004935743367511759,1.1102519248264631e-05,0.0,1.1648756927265654e-06,0.0
ppo,42,168,5376,0,0.9952071722390645,0.995773066968656,0.03000782843057532,1.0686044602375344,0.004646086673740286,0.00016897768314432936,0.0,4.894186148320369e-07,0.0
ppo,43,172,5504,0,0.9952323458094017,0.9957944267881249,0.029871221522689412,1.0687410671454205,0.005629701760071134,2.7429112275617304e-06,0.0,2.0583691959912487e-07,0.0
ppo,44,176,5632,0,0.995248772302052,0.9958083889803535,0.029781717509911737,1.0688305711581978,-0.0025085005508981833,7.986932996066928e-05,0.0,8.855550505280052e-08,0.0
ppo,45,180,5760,0,0.995537842517531,0.9960517752943302,0.0283424642288548,1.0702698244392548,0.03473333467754189,0.02916104801750828,0.0,1.2617145191921487e-05,0.0
ppo,46,184,5888,0,0.995896416169073,0.9963523650289667,0.026510304998409707,1.0721019836697,-0.004817160780935195,0.014149817778954908,0.0,1.757849783332134e-05,0.0
ppo,47,188,6016,0,0.996140847217075,0.9965573283873796,0.025232055381962645,1.073380233286147,-0.02571351861468407,0.0004062349383601424,0.0,8.620888958282191e-06,0.0
ppo,48,192,6144,0,0.996291969247081,0.9966843803934738,0.02443084614923778,1.0741814425188718,0.00567194990736662,0.0005604802997098614,0.0,3.5084617491995923e-06,0.0
ppo,49,196,6272,0,0.996387011892707,0.9967643683226818,0.023922733525204562,1.0746895551429054,0.017634665646929573,0.00021238656765382112,0.0,1.4455563955677326e-06,0.0
ppo,50,200,6400,0,0.9964481248922408,0.9968158414758217,0.023594298844423753,1.075017989823686,-0.0003061274728750216,0.000163018114903763,0.0,6.157340197350283e-07,0.0
ppo,51,204,6528,0,0.9964881775365988,0.9968496255701429,0.023378124392630196,1.07523416427548,-0.009257882339961901,0.00018362405873899483,0.0,2.6997702755331115e-07,0.0
ppo,52,208,6656,0,0.9965144201922289,0.9968717852115503,0.023235994546801014,1.0753762941213088,-0.0022009391061233534,4.915710004404519e-05,0.0,1.1686043577931051e-07,0.0
ppo,53,212,6784,0,0.9965314938415578,0.9968861961332486,0.023143396548141733,1.075468892119968,0.004712526167803375,7.731093050945098e-05,0.0,4.9639283541055027e-08,0.0
ppo,54,216,6912,0,0.9965724562371057,0.9969288888629316,0.022866527601597148,1.0757457610665129,0.00781357518025701,0.0028338208075514427,0.0,1.2051885282597175e-06,0.0
ppo,55,220,7040,0,0.9966536598597324,0.9970056473754483,0.022352480925187178,1.0762598077429226,0.0089364562328865,0.012706252672309716,0.0,4.62458103333926e-06,0.0
ppo,56,224,7168,0,0.996815680416381,0.9971404380365326,0.021474913334588064,1.0771373753335218,0.0018878686254860718,0.01324817471539599,0.0,6.8813465399922085e-06,0.0
ppo,57,228,7296,0,0.9969566255354785,0.9972559245502745,0.020721627975300274,1.0778906606928096,-0.01140140139142398,0.0008219087484672609,0.0,5.557964950995758e-06,0.0
