step,time,replan_reason,joint_error_rad,max_velocity_bound_violation,solver_violation
1,0.02,initial,0.5255238910032685,0.0,0.0
2,0.04,reused,0.5182839379855652,0.0,0.0
3,0.06,reused,0.5074573486655578,0.0,0.0
4,0.08,reused,0.4930882284426263,5.566380689714379e-12,5.566380689714379e-12
5,0.1,reused,0.47524309706554346,0.0,0.0
6,0.12000000000000001,periodic,0.45407987401613475,2.7200464103316335e-15,2.7200464103316335e-15
7,0.14,reused,0.4300866648717196,0.0,0.0
8,0.16,reused,0.40329158605888793,0.0,0.0
9,0.18,reused,0.3737495742177388,1.1131162658273297e-09,1.1131162658273297e-09
10,0.19999999999999998,reused,0.3415573479195076,0.0,0.0
11,0.21999999999999997,periodic,0.3090891827867107,1.5987211554602254e-14,1.5987211554602254e-14
12,0.23999999999999996,reused,0.2756406838608431,1.62222457689154e-11,1.62222457689154e-11
13,0.25999999999999995,reused,0.24154127535106945,9.8790420288708e-13,9.8790420288708e-13
14,0.27999999999999997,reused,0.20776286995322688,1.0396405958346122e-12,1.0396405958346122e-12
15,0.3,reused,0.17423219131324194,0.0,0.0
16,0.32,periodic,0.14402644158334152,7.763234499691407e-14,7.763234499691407e-14
17,0.34,reused,0.11708222127635436,9.262590694447681e-13,9.262590694447681e-13
18,0.36000000000000004,reused,0.09335265073398878,9.777734177873754e-13,9.777734177873754e-13
19,0.38000000000000006,reused,0.07282387265449838,1.0292877661299826e-12,1.0292877661299826e-12
20,0.4000000000000001,reused,0.05375820067143053,1.0205170042354439e-12,1.0205170042354439e-12
21,0.4200000000000001,periodic,0.03782376376958703,0.0,0.0
22,0.4400000000000001,reused,0.024996808448779273,9.43536915265497e-13,9.43536915265497e-13
23,0.46000000000000013,reused,0.015344655296087783,9.952941248947411e-13,9.952941248947411e-13
24,0.48000000000000015,reused,0.009664416687954777,9.687806112879116e-13,9.687806112879116e-13
25,0.5000000000000001,reused,0.010406649442057062,1.0204614930842126e-12,1.0204614930842126e-12
26,0.5200000000000001,periodic,0.013214405556743719,0.0,0.0
27,0.5400000000000001,reused,0.015115008297639908,9.396095013158856e-13,9.396095013158856e-13
28,0.5600000000000002,reused,0.015210473308943057,9.91345894263418e-13,9.91345894263418e-13
29,0.5800000000000002,reused,0.013382146470113704,0.0,0.0
30,0.6000000000000002,reused,0.011638372757440974,0.0,0.0
31,0.6200000000000002,periodic,0.01019979220850018,0.0,0.0
32,0.6400000000000002,reused,0.008761211544473114,0.0,0.0
33,0.6600000000000003,reused,0.00732263077456663,0.0,0.0
34,0.6800000000000003,reused,0.005884049907251068,0.0,0.0
